arch,width,seed,noise,params
simplecnn,,0,0.1,2136535
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3
1,2.7555424193572997,0.21588,1.910788946723938,0.2771,-0.009449834004044533,-0.014796203933656216,-0.03763528913259506,-0.04706553369760513
2,1.8046378467941284,0.35942,1.556118229675293,0.407,-0.03963330388069153,-0.022426603361964226,-0.024747319519519806,-0.03777993097901344
3,1.617789683303833,0.45284,1.795975276184082,0.3872,-0.013280545361340046,-0.10328767448663712,-0.1530400812625885,0.07127249240875244
4,1.487207399291992,0.51358,1.8405987049102783,0.3744,0.020046405494213104,-0.126404270529747,-0.24643629789352417,0.1313403695821762
5,1.3826511373138428,0.56582,1.2518334873199464,0.5509,-0.06634284555912018,0.023697329685091972,0.11860278993844986,-0.21170520782470703
6,1.315529386253357,0.5965,1.053133818435669,0.6453,-0.03789482265710831,-0.039528775960206985,0.01589799113571644,-0.06247160956263542
7,1.259807370414734,0.62446,1.0781312825202942,0.6226,-0.05061245709657669,-0.09065259993076324,-0.04111717641353607,0.0352926105260849
8,1.2114549146652223,0.64662,0.8602350095748902,0.7203,-0.04109670966863632,-0.013722127303481102,0.03617849573493004,-0.10334479808807373
9,1.1638787687301635,0.66586,1.0386594038009644,0.6409,-0.06172340735793114,0.04114546626806259,0.10143983364105225,-0.22645500302314758
10,1.1304610848236083,0.68058,0.9107152471542358,0.7082,-0.02213466912508011,-0.0800514742732048,-0.0891445130109787,0.05612236633896828
11,1.0932273765182494,0.69516,1.0968455690383911,0.6192,-0.03564367815852165,-0.10092014819383621,-0.07698492705821991,0.05573759227991104
12,1.070212073020935,0.70462,0.8441986236572265,0.7191,-0.031117800623178482,-0.0753488689661026,-0.007113376632332802,-0.04648945853114128
13,1.0400289742279052,0.7183,0.9569292395591736,0.676,-0.06965004652738571,0.008929379284381866,0.0814608782529831,-0.18971438705921173
14,1.0239417924690246,0.72232,0.6924066816329956,0.7871,-0.04864034801721573,-0.038976166397333145,0.0095512168481946,-0.059387434273958206
15,1.0020552567291259,0.73162,0.9572602512359619,0.6766,-0.07256433367729187,-0.02592739462852478,0.04714885354042053,-0.12435436993837357
16,0.9801705571746826,0.73934,0.8309460045814514,0.7281,-0.02802492491900921,-0.07840769737958908,-0.05950363725423813,0.001083620823919773
17,0.9624331170845032,0.7444,0.9078412748336792,0.6902,-0.013911264017224312,-0.06533963233232498,-0.07175338268280029,0.01501338742673397
18,0.9490185137939453,0.74842,0.720661575126648,0.7725,-0.030211105942726135,-0.08030308783054352,-0.0442400760948658,-0.01605512760579586
19,0.9306067194747925,0.75658,0.9110333980560302,0.6988,-0.03685493394732475,-0.04531721770763397,-0.004130223765969276,-0.1828869879245758
20,0.915017891407013,0.7604,0.5907789049625397,0.8249,-0.026163816452026367,-0.07369795441627502,-0.032031796872615814,0.02582302689552307
21,0.9037052426528931,0.7637,0.6666050505638123,0.7954,-0.0297549981623888,-0.09493085741996765,-0.057178571820259094,0.02111559547483921
